epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.37379,1.24745,4.47649,1.1949,0,0,0,0,1.42055,4.83583,1.66609,0,0,0
1,4.39853,1.24745,4.47649,1.1949,0,0,0,0,1.42055,4.83583,1.66609,0,0,0
1,4.36759,1.24745,4.47649,1.1949,0,0,0,0,1.42055,4.83583,1.66609,0,0,0
1,290.797,0.70344,1.46818,1.06857,0.28149,0.89775,0.32729,0.2933,0.49288,1.30028,0.96481,0.000666222,0.000666222,0.000666222
1,290.901,0.70344,1.46818,1.06857,0.28149,0.89775,0.32729,0.2933,0.49288,1.30028,0.96481,0.000666222,0.000666222,0.000666222
1,290.905,0.70344,1.46818,1.06857,0.28149,0.89775,0.32729,0.2933,0.49288,1.30028,0.96481,0.000666222,0.000666222,0.000666222
1,295.097,0.57616,1.2711,0.99893,0.31264,0.78733,0.34959,0.32409,0.3957,1.22356,0.90192,0.000666222,0.000666222,0.000666222
